,release_date,tmdb_id,name,countries,box_office_revenue,genres,composers
2607,2002,11056.0,Darkness,"['United States of America', 'Spain']",34409206.0,"['Horror', 'Haunted House Film']","[Composer(id=43332, name='Carles Cases', birthday=None, gender=2, homepage=None, place_of_birth=None, date_first_appearance='1992-01-30')]"
2608,1987,36914.0,Like Father Like Son,['United States of America'],34377585.0,"['Family Film', 'Screwball comedy', 'Fantasy', 'Comedy', 'Teen']","[Composer(id=63964, name='Miles Goodman', birthday='1949-08-27', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1974-12-31')]"
2609,1987,14367.0,Adventures in Babysitting,['United States of America'],34368475.0,"['Thriller', 'Adventure', 'Comedy', 'Family Film', 'Action', 'Teen']","[Composer(id=7714, name='Michael Kamen', birthday='1948-04-15', gender=2, homepage='http://www.michaelkamen.com/', place_of_birth='New York City, New York, USA', date_first_appearance='1977-06-01')]"
2610,1967,32489.0,Thoroughly Modern Millie,['United States of America'],34335025.0,"['Parody', 'Romantic comedy', 'Screwball comedy', 'Musical comedy', 'Musical', 'Comedy', 'Romance Film']","[Composer(id=7182, name='Elmer Bernstein', birthday='1922-04-04', gender=2, homepage=None, place_of_birth='New York City, New York, USA', date_first_appearance='1952-08-07')]"
2611,1980,8393.0,The Gods Must Be Crazy,['South Africa'],34331783.0,"['Adventure', 'Action/Adventure', 'Indie', 'World cinema', 'Cult', 'Adventure Comedy', 'Comedy', 'Slapstick']","[Composer(id=55671, name='John Boshoff', birthday=None, gender=0, homepage=None, place_of_birth=None, date_first_appearance='1980-09-10')]"
2612,1996,10874.0,Muppet Treasure Island,['United States of America'],34327391.0,"['Adventure', ""Children's/Family"", 'Musical', ""Children's"", 'Comedy', 'Music', 'Family Film', 'Family-Oriented Adventure']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
2613,1980,27458.0,Little Darlings,['United States of America'],34326249.0,"['Drama', 'Coming of age', 'Comedy', 'Teen']","[Composer(id=50239, name='Charles Fox', birthday='1940-10-30', gender=2, homepage=None, place_of_birth='New York City, New York, USA', date_first_appearance='1968-12-19')]"
2614,1975,11326.0,Tommy,"['England', 'United Kingdom']",34300000.0,"['Drama', 'Musical', 'Fantasy', 'Indie']","[Composer(id=47098, name='Pete Townshend', birthday='1945-05-19', gender=2, homepage='https://petetownshend.net/', place_of_birth='Chiswick, London, England, UK', date_first_appearance='1975-03-19')]"
2615,2010,38031.0,You Will Meet a Tall Dark Stranger,"['United States of America', 'Spain']",34275987.0,"['Romantic comedy', 'Ensemble Film', 'Indie', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']",
2616,2003,10610.0,The Medallion,"['United States of America', 'Hong Kong', 'United Kingdom']",34268701.0,"['Thriller', 'Fantasy Adventure', 'Buddy film', 'Adventure', 'Action Comedy', 'Action/Adventure', 'Martial Arts Film', 'Fantasy', 'Comedy', 'Action', 'Chinese Movies']","[Composer(id=1465627, name='Adrian Lee', birthday=None, gender=0, homepage=None, place_of_birth=None, date_first_appearance='2003-08-15')]"
2617,2000,1359.0,American Psycho,['United States of America'],34266564.0,"['Thriller', 'Crime Thriller', 'Horror', 'Psychological thriller', 'Period piece', 'Satire', 'Drama', 'Comedy', 'Film adaptation', 'Crime Fiction', 'Black comedy', 'Slasher']","[Composer(id=7491, name='John Cale', birthday='1942-03-09', gender=2, homepage='https://john-cale.com/', place_of_birth='Garnant, Carmarthenshire, Wales, UK', date_first_appearance='1971-12-01')]"
2618,2007,4771.0,Gone Baby Gone,['United States of America'],34209788.0,"['Thriller', 'Detective fiction', 'Detective', 'Psychological thriller', 'Mystery', 'Drama', 'Film adaptation', 'Crime Thriller']","[Composer(id=5553, name='Harry Gregson-Williams', birthday='1961-12-13', gender=2, homepage=None, place_of_birth='Chichester, Sussex, England, UK', date_first_appearance='1994-04-15')]"
2619,1996,12498.0,Sling Blade,['United States of America'],34175000.0,"['Melodrama', 'Drama', 'Indie']","[Composer(id=72538, name='Daniel Lanois', birthday='1951-09-19', gender=2, homepage='http://www.daniellanois.com/', place_of_birth='Hull, Québec, Canada', date_first_appearance='1994-11-25')]"
2620,2012,94352.0,Cirque du Soleil: Worlds Away,[],34153101.0,[],"[Composer(id=1001706, name='Stephen Barton', birthday='1982-09-17', gender=2, homepage=None, place_of_birth='Preston, Lancashire, England, UK', date_first_appearance='2009-06-18')]"
2621,1999,12117.0,Instinct,['United States of America'],34105207.0,"['Thriller', 'Mystery', 'Drama', 'Psychological thriller', 'Film adaptation']","[Composer(id=531, name='Danny Elfman', birthday='1953-05-29', gender=2, homepage='https://www.dannyelfman.com/', place_of_birth='Los Angeles, California, USA', date_first_appearance='1980-03-15')]"
2622,1999,16162.0,The Best Man,['United States of America'],34102780.0,"['Drama', 'Comedy']","[Composer(id=9769, name='Stanley Clarke', birthday='1951-06-30', gender=2, homepage='https://www.stanleyclarke.com', place_of_birth='Philadelphia, Pennsylvania, USA', date_first_appearance='1991-01-26')]"
2623,1992,11621.0,Porco Rosso,['Japan'],34100000.0,"['Fantasy Adventure', 'Japanese Movies', 'Adventure', 'World cinema', 'Animation', ""Children's"", 'Fantasy', 'Family-Oriented Adventure', 'Drama', 'Family Film', 'Anime']","[Composer(id=636, name='Joe Hisaishi', birthday='1950-12-06', gender=2, homepage='http://joehisaishi.com/', place_of_birth='Nagano, Japan', date_first_appearance='1984-03-11')]"
2624,1996,8866.0,The Truth About Cats & Dogs,['United States of America'],34073143.0,"['Romantic comedy', 'Romance Film', 'Comedy of Errors', 'Comedy']","[Composer(id=117, name='Howard Shore', birthday='1946-10-18', gender=2, homepage='http://www.howardshore.com/', place_of_birth='Toronto, Ontario, Canada', date_first_appearance='1978-09-08')]"
2625,2013,153158.0,Metegol,"['Spain', 'Argentina']",34061097.0,"['Romance Film', 'Adventure', 'Animation']",
2626,2010,35552.0,The Extraordinary Adventures of Adèle Blanc-Sec,['France'],34051868.0,"['Mystery', 'Action', 'Fantasy', 'Adventure']",
2627,1989,25074.0,Miracles,"['Hong Kong', 'China']",34036029.0,"['Crime Fiction', 'World cinema', 'Action/Adventure', 'Martial Arts Film', 'Drama', 'Comedy', 'Chinese Movies']","[Composer(id=1076281, name='Cong Su', birthday=None, gender=0, homepage=None, place_of_birth=None, date_first_appearance='1989-06-15'), Composer(id=1178936, name='Michael Lai Siu-Tin', birthday='1946-11-08', gender=2, homepage=None, place_of_birth='British Hong Kong', date_first_appearance='1983-05-12')]"
2628,1985,8408.0,Day of the Dead,['United States of America'],34000000.0,"['Cult', 'Zombie Film', 'Horror', 'Indie']",
2629,1985,11243.0,The Care Bears Movie,"['United States of America', 'Canada']",34000000.0,"['Indie', ""Children's/Family"", 'Animation', 'Fantasy', ""Children's Fantasy"", 'Family Film']","[Composer(id=68740, name='Patricia Cullen', birthday=None, gender=1, homepage=None, place_of_birth=None, date_first_appearance='1981-03-21')]"
2630,2005,34065.0,Pokémon: Destiny Deoxys,"['United States of America', 'Japan']",34000000.0,"['Fantasy Comedy', 'Japanese Movies', 'Adventure', 'Animation', 'Action/Adventure', 'Anime', ""Children's"", 'Animated cartoon', 'Family Film', 'Action']",
2631,2009,25376.0,The Secret in Their Eyes,"['Spain', 'Argentina']",33965279.0,"['Thriller', 'Crime Fiction', 'World cinema', 'Mystery', 'Period piece', 'Drama', 'Romantic drama', 'Romance Film']","[Composer(id=45546, name='Federico Jusid', birthday='1973-03-23', gender=2, homepage='https://federicojusid.com', place_of_birth='Buenos Aires, Argentina', date_first_appearance='1998-05-21'), Composer(id=553927, name='Emilio Kauderer', birthday=None, gender=2, homepage=None, place_of_birth=None, date_first_appearance='1980-08-07')]"
2632,1997,11015.0,The Relic,"['United States of America', 'Japan', 'United Kingdom', 'New Zealand', 'Germany']",33956608.0,"['Thriller', 'Japanese Movies', 'Horror', 'Creature Film', 'Film adaptation']","[Composer(id=4500, name='John Debney', birthday='1956-08-18', gender=2, homepage=None, place_of_birth='Glendale, California, USA', date_first_appearance='1984-01-01')]"
2633,1992,10409.0,Strictly Ballroom,['Australia'],33946224.0,"['Romantic comedy', 'Dance', 'World cinema', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']","[Composer(id=37757, name='David Hirschfelder', birthday=None, gender=2, homepage=None, place_of_birth=None, date_first_appearance='1992-08-20')]"
2634,2004,3040.0,Night Watch,['Russia'],33899078.0,"['Thriller', 'Horror', 'World cinema', 'Action/Adventure', 'Fantasy', 'Action']","[Composer(id=23437, name='Yuriy Poteenko', birthday='1960-12-05', gender=2, homepage=None, place_of_birth='Molodogvardeysk, Ukrainian SSR, USSR', date_first_appearance='2004-06-27')]"
2635,2004,205.0,Hotel Rwanda,"['United States of America', 'South Africa', 'Italy', 'United Kingdom']",33882243.0,"['Biography', 'History', 'Docudrama', 'Drama', 'War film', 'Political drama']","[Composer(id=2593, name='Rupert Gregson-Williams', birthday='1967-02-21', gender=2, homepage=None, place_of_birth='Tonbridge, Kent, England, UK', date_first_appearance='1998-07-13'), Composer(id=2622, name='Martin Russell', birthday=None, gender=0, homepage=None, place_of_birth=None, date_first_appearance='2004-12-22'), Composer(id=20648, name='Andrea Guerra', birthday='1961-10-22', gender=2, homepage=None, place_of_birth='Santarcangelo di Romagna, Italy', date_first_appearance='2000-04-05')]"
2636,1976,12268.0,The Pink Panther Strikes Again,['United Kingdom'],33833201.0,"['Crime Fiction', 'Parody', 'Crime Comedy', 'Comedy', 'Slapstick']","[Composer(id=1938, name='Henry Mancini', birthday='1924-04-16', gender=2, homepage=None, place_of_birth='Cleveland, Ohio, USA', date_first_appearance='1953-04-06')]"
2637,1993,11528.0,The Sandlot,['United States of America'],33832313.0,"[""Children's/Family"", 'Americana', 'Comedy-drama', 'Sports', 'Period piece', 'Coming of age', 'Comedy', 'Drama', 'Family Film', 'Teen']","[Composer(id=3393, name='David Newman', birthday='1954-03-11', gender=2, homepage='http://www.davidlouisnewman.com', place_of_birth=' Los Angeles, California, USA', date_first_appearance='1986-04-11')]"
2638,2000,11849.0,Dungeons & Dragons,['United States of America'],33807409.0,"['Action/Adventure', 'Sword and sorcery', 'Mockumentary', 'Fantasy', 'Sword and sorcery films']","[Composer(id=33290, name='Justin Caine Burnett', birthday='1973-05-02', gender=2, homepage='https://www.justinburnett.com', place_of_birth=None, date_first_appearance='1998-06-13')]"
2639,2000,10564.0,Where the Heart Is,['United States of America'],33800000.0,"['Romantic drama', 'Romance Film', 'Drama', 'Comedy']","[Composer(id=20836, name='Mason Daring', birthday='1949-09-21', gender=2, homepage=None, place_of_birth=None, date_first_appearance='1980-04-11')]"
2640,1976,7340.0,Carrie,['United States of America'],33800000.0,"['Drama', 'Horror']","[Composer(id=14138, name='Pino Donaggio', birthday='1941-11-24', gender=2, homepage=None, place_of_birth='Burano, Veneto, Italy', date_first_appearance='1973-01-18')]"
2641,2001,2294.0,Jay and Silent Bob Strike Back,['United States of America'],33788161.0,"['Road movie', 'Stoner film', 'Buddy film', 'Comedy']","[Composer(id=23739, name='James L. Venable', birthday=None, gender=2, homepage=None, place_of_birth=None, date_first_appearance='2001-08-22')]"
2642,1983,19698.0,Porky's II: The Next Day,"['United States of America', 'Canada']",33759266.0,"['Sex comedy', 'Screwball comedy', 'Comedy']",
2643,2011,63311.0,The Skin I Live In,['Spain'],33750478.0,"['Thriller', 'Drama']","[Composer(id=405, name='Alberto Iglesias', birthday='1955-10-21', gender=2, homepage=None, place_of_birth='Donostia-San Sebastián, Guipúzcoa, País Vasco, Spain', date_first_appearance='1988-01-01')]"
2644,1991,11894.0,Curly Sue,['United States of America'],33691313.0,"['Family Film', 'Family Drama', 'Drama', 'Comedy', 'Melodrama']","[Composer(id=3535, name='Georges Delerue', birthday='1925-03-12', gender=2, homepage='http://www.georges-delerue.com/', place_of_birth='Roubaix, Nord, France', date_first_appearance='1957-01-01')]"
2645,2001,1391.0,Y tu mamá también,['Mexico'],33616692.0,"['Sex comedy', 'World cinema', 'Road movie', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Coming of age', 'Romance Film']",
2646,2005,17880.0,Because of Winn-Dixie,['United States of America'],33589527.0,"['Family Drama', 'Comedy-drama', ""Children's"", 'Drama', 'Comedy', 'Family Film']","[Composer(id=3562, name='Rachel Portman', birthday='1960-12-11', gender=1, homepage='https://rachelportman.co.uk/', place_of_birth='Haslemere, Surrey, England, UK', date_first_appearance='1987-11-08')]"
2647,2010,44040.0,Devil,['United States of America'],33583175.0,"['Thriller', 'Mystery', 'Horror']","[Composer(id=51897, name='Fernando Velázquez', birthday='1976-11-27', gender=2, homepage=None, place_of_birth='Getxo, Spain', date_first_appearance='2001-09-14')]"
2648,2011,91078.0,Punch,['South Korea'],33556725.0,"['Sports', 'Coming of age', 'Drama']",
2649,2002,10426.0,Friday After Next,['United States of America'],33526835.0,"['Buddy film', 'Comedy']","[Composer(id=960, name='John Murphy', birthday='1965-03-04', gender=2, homepage=None, place_of_birth='Liverpool, England, UK', date_first_appearance='1994-11-01')]"
2650,2008,12182.0,Nick and Norah's Infinite Playlist,['United States of America'],33506137.0,"['Romantic comedy', 'Musical', 'Coming of age', 'Comedy', 'Drama', 'Music', 'Romance Film', 'Teen']","[Composer(id=5666, name='Mark Mothersbaugh', birthday='1950-05-18', gender=2, homepage='https://mutato.com/', place_of_birth='Akron, Ohio, USA', date_first_appearance='1987-07-10')]"
2651,1977,83061.0,Heroes,['United States of America'],33500000.0,"['Romantic drama', 'Romance Film', 'Drama', 'Comedy']","[Composer(id=7066, name='Jack Nitzsche', birthday='1937-04-22', gender=2, homepage=None, place_of_birth='Chicago, Illinois, USA', date_first_appearance='1965-10-20')]"
2652,2008,14438.0,Fireproof,['United States of America'],33473297.0,"['Christian film', 'Indie', 'Marriage Drama', 'Drama', 'Romantic drama', 'Romance Film']",
2653,2000,8870.0,Red Planet,"['United States of America', 'Australia']",33463969.0,"['Thriller', 'Disaster', 'Science Fiction', 'Adventure', 'Action/Adventure']","[Composer(id=5912, name='Graeme Revell', birthday='1955-10-23', gender=2, homepage=None, place_of_birth='Auckland, New Zealand', date_first_appearance='1989-04-07')]"
2654,2007,7942.0,"Run, Fat Boy, Run",['United Kingdom'],33463522.0,"['Sports', 'Romantic comedy', 'Romance Film', 'Comedy', 'Slapstick']",
2655,1999,9824.0,Mystery Men,['United States of America'],33461011.0,"['Parody', 'Indie', 'Superhero movie', 'Action/Adventure', 'Fantasy', 'Comedy', 'Action']","[Composer(id=469, name='Stephen Warbeck', birthday='1953-05-03', gender=2, homepage=None, place_of_birth='Southampton, Hampshire, England, UK', date_first_appearance='1995-10-07')]"
2656,2012,126509.0,2016: Obama's America,['United States of America'],33449086.0,['Documentary'],
2657,2002,17043.0,The Crocodile Hunter: Collision Course,"['United States of America', 'Australia', 'New Zealand']",33436931.0,"['Adventure', 'World cinema', 'Animal Picture', 'Action/Adventure', 'Adventure Comedy', 'Comedy', 'Family Film', 'Action', 'Family-Oriented Adventure']","[Composer(id=958084, name='Mark McDuff', birthday=None, gender=2, homepage=None, place_of_birth=None, date_first_appearance='2002-07-26')]"
2658,2000,11004.0,Wonder Boys,"['United States of America', 'Japan', 'United Kingdom', 'Germany']",33426588.0,"['LGBT', 'Japanese Movies', 'Comedy of manners', 'Comedy-drama', 'Coming of age', 'Comedy', 'Film adaptation', 'Drama']","[Composer(id=19155, name='Christopher Young', birthday='1957-04-28', gender=2, homepage=None, place_of_birth='Redbank, New Jersey, USA', date_first_appearance='1982-04-02')]"
2659,2012,84892.0,The Perks of Being a Wallflower,['United States of America'],33400000.0,"['Romance Film', 'Drama']","[Composer(id=19016, name='Michael Brook', birthday='1952-01-01', gender=2, homepage='https://www.michaelbrookmusic.com', place_of_birth='Toronto, Ontario, Canada', date_first_appearance='1996-09-09')]"
2660,1968,805.0,Rosemary's Baby,['United States of America'],33395426.0,"['Horror', 'Drama', 'Psychological thriller', 'Mystery']","[Composer(id=12013, name='Krzysztof Komeda', birthday='1931-04-27', gender=2, homepage=None, place_of_birth='Poznań, wielkopolskie, Polska', date_first_appearance='1958-04-22')]"
2661,2008,8321.0,In Bruges,"['United States of America', 'Belgium', 'Ireland', 'United Kingdom']",33394440.0,"['Crime Fiction', 'Thriller', 'Buddy film', 'Crime Drama', 'Comedy-drama', 'Action/Adventure', 'Drama', 'Comedy', 'Crime Thriller', 'Black comedy', 'Action']","[Composer(id=1225, name='Carter Burwell', birthday='1955-11-18', gender=2, homepage='http://www.carterburwell.com/main/carter_burwell.shtml', place_of_birth='New York City, New York, USA', date_first_appearance='1984-09-07')]"
2662,2004,36218.0,Pokémon: Jirachi Wishmaker,"['United States of America', 'Japan']",33393751.0,"['Japanese Movies', 'Action/Adventure', 'Anime', 'Fantasy', ""Children's"", 'Animated cartoon', 'Family Film', 'Action']",
2663,2006,10795.0,Tell No One,['France'],33385185.0,"['Thriller', 'Crime Fiction', 'World cinema', 'Psychological thriller', 'Mystery', 'Drama']","[Composer(id=66841, name='Matthieu Chedid', birthday='1971-12-21', gender=2, homepage='http://www.mistermystere.com', place_of_birth='Boulogne-Billancourt, France', date_first_appearance='2006-11-01')]"
2664,2012,87825.0,Trouble with the Curve,['United States of America'],33355218.0,['Drama'],"[Composer(id=7229, name='Marco Beltrami', birthday='1966-10-07', gender=2, homepage='https://marcobeltrami.com/', place_of_birth='Long Island, New York, USA', date_first_appearance='1996-07-23')]"
2665,1994,2788.0,Reality Bites,['United States of America'],33351557.0,"['Romantic comedy', 'Ensemble Film', 'Indie', 'Coming of age', 'Comedy', 'Drama']",
2666,1979,17443.0,...And Justice for All,['United States of America'],33300000.0,"['Thriller', 'Crime Fiction', 'Comedy-drama', 'Mystery', 'Satire', 'Drama', 'Comedy', 'Legal drama', 'Courtroom Drama', 'New Hollywood', 'Suspense']","[Composer(id=10771, name='Dave Grusin', birthday='1934-06-26', gender=2, homepage=None, place_of_birth='Littleton, Colorado, USA', date_first_appearance='1967-09-01')]"
2667,1957,826.0,The Bridge on the River Kwai,"['United States of America', 'United Kingdom']",33300000.0,"['Ensemble Film', 'Drama', 'Adventure', 'War film']","[Composer(id=12241, name='Malcolm Arnold', birthday='1921-10-21', gender=2, homepage=None, place_of_birth='Northampton, Northamptonshire, England, UK', date_first_appearance='1948-01-01')]"
2668,2005,9042.0,The Cave,"['United States of America', 'Germany']",33296457.0,"['Thriller', 'Action/Adventure', 'Science Fiction', 'Action', 'Horror']","[Composer(id=1075, name='Johnny Klimek', birthday='1962-08-18', gender=2, homepage=None, place_of_birth=None, date_first_appearance='1997-10-30'), Composer(id=1076, name='Reinhold Heil', birthday='1954-05-18', gender=2, homepage=None, place_of_birth='Schlüchtern, Hesse, Germany', date_first_appearance='1996-10-26')]"
2669,2005,59423.0,Marathon,['South Korea'],33284089.0,['Drama'],
2670,1991,13697.0,Grand Canyon,['United States of America'],33243020.0,['Drama'],"[Composer(id=1213, name='James Newton Howard', birthday='1951-06-09', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1985-06-06')]"
2671,1969,14030.0,Hello Dolly!,['United States of America'],33208099.0,"['Romantic comedy', 'Romance Film', 'Musical', 'Family Film', 'Comedy']","[Composer(id=11441, name='Lionel Newman', birthday='1916-01-04', gender=2, homepage=None, place_of_birth='New Haven, Connecticut, USA', date_first_appearance='1950-11-01'), Composer(id=95665, name='Lennie Hayton', birthday='1908-02-13', gender=2, homepage=None, place_of_birth='New York City, New York, USA', date_first_appearance='1941-05-23')]"
2672,1995,10525.0,Forget Paris,['United States of America'],33177694.0,"['Romantic comedy', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']","[Composer(id=9251, name='Marc Shaiman', birthday='1959-10-22', gender=2, homepage=None, place_of_birth='Newark, New Jersey, USA ', date_first_appearance='1989-06-03')]"
2673,2011,51162.0,Winnie the Pooh,['United States of America'],33152846.0,"['Family Film', ""Children's/Family"", 'Musical', 'Family-Oriented Adventure', 'Animation']","[Composer(id=227440, name='Henry Jackman', birthday='1974-01-01', gender=2, homepage=None, place_of_birth='Hillingdon, Middlesex, England, UK', date_first_appearance='2009-03-19'), Composer(id=1229800, name='Robert Lopez', birthday=None, gender=2, homepage=None, place_of_birth='Park Slope, Brooklyn, New York, USA', date_first_appearance='2011-04-06'), Composer(id=1366120, name='Kristen Anderson-Lopez', birthday='1972-03-21', gender=1, homepage=None, place_of_birth='New York, New York, U.S.', date_first_appearance='2011-04-06')]"
2674,1982,78.0,Blade Runner,"['United States of America', 'Hong Kong']",33139618.0,"['Thriller', 'Cyberpunk', 'Science Fiction', 'Future noir', 'Existentialism', 'Cult', 'Drama', 'Film noir', 'Crime Thriller', 'Chinese Movies', 'Dystopia', 'Neo-noir']","[Composer(id=595, name='Vangelis', birthday='1943-03-29', gender=2, homepage=None, place_of_birth='Volos, Thessaly, Greece', date_first_appearance='1967-06-01')]"
2675,2002,10592.0,Hart's War,['United States of America'],33076815.0,"['Crime Fiction', 'Period piece', 'Drama', 'War film', 'Political drama', 'Courtroom Drama']",
2676,2005,13430.0,Always: Sunset on Third Street,['Japan'],33053559.0,"['Japanese Movies', 'Drama', 'World cinema']",
2677,2004,11132.0,Confessions of a Teenage Drama Queen,"['United States of America', 'Germany']",33051296.0,"['Teen', 'Romance Film', 'Family Film', 'Comedy', 'Musical']","[Composer(id=5666, name='Mark Mothersbaugh', birthday='1950-05-18', gender=2, homepage='https://mutato.com/', place_of_birth='Akron, Ohio, USA', date_first_appearance='1987-07-10')]"
2678,2011,49012.0,Arthur,['United States of America'],33035397.0,"['Romantic comedy', 'Romance Film', 'Remake', 'Comedy']","[Composer(id=10572, name='Theodore Shapiro', birthday='1971-09-29', gender=2, homepage=None, place_of_birth='Washington, District of Columbia, USA', date_first_appearance='1996-01-15')]"
2679,2007,13257.0,Mr. Woodcock,['United States of America'],33035245.0,"['Black comedy', 'Domestic Comedy', 'Comedy', 'Slapstick']",
2680,1996,36998.0,The Eighth Day,"['France', 'Belgium', 'United Kingdom']",33031984.0,"['Drama', 'Comedy', 'World cinema']","[Composer(id=2469247, name='Pierre van Dormael', birthday='1952-05-24', gender=2, homepage=None, place_of_birth='Bruxelles, Belgium', date_first_appearance='1991-05-17')]"
2681,2005,17350.0,Brice de nice,['France'],33026616.0,"['Gross out', 'Gross-out film', 'Comedy', 'Teen']","[Composer(id=35073, name='Bruno Coulais', birthday='1954-01-13', gender=2, homepage=None, place_of_birth='Paris, France', date_first_appearance='1991-03-20')]"
2682,2002,4912.0,Confessions of a Dangerous Mind,"['United States of America', 'United Kingdom', 'Germany']",33013805.0,"['Crime Fiction', 'Thriller', 'Biography', 'Comedy film', 'Biopic [feature]', 'Comedy-drama', 'Action/Adventure', 'Period piece', 'Drama', 'Comedy', 'Film adaptation', 'Biographical film', 'Action', 'Romance Film']","[Composer(id=39993, name='Alex Wurman', birthday='1966-10-05', gender=2, homepage='https://www.alexwurman.com/', place_of_birth='Chicago, Illinois, USA', date_first_appearance='1994-12-07')]"
2683,1956,8420.0,And God Created Woman,"['France', 'Italy']",33000000.0,"['Romantic drama', 'Romance Film', 'Drama', 'World cinema']","[Composer(id=24295, name='Paul Misraki', birthday='1908-01-28', gender=2, homepage='http://www.paulmisraki.fr/', place_of_birth='Constantinople, Ottoman Empire [now Istanbul, Turkey]', date_first_appearance='1931-06-21')]"
2684,1971,34184.0,The Burglars,['France'],33000000.0,"['Thriller', 'Crime Thriller', 'Action', 'Crime Fiction', 'Caper story']","[Composer(id=1259, name='Ennio Morricone', birthday='1928-11-10', gender=2, homepage='http://www.enniomorricone.org/', place_of_birth='Rome, Italy', date_first_appearance='1961-08-05')]"
2685,2010,60604.0,Hanamizuki,['Japan'],32990888.0,"['Japanese Movies', 'Drama']",
2686,2003,166225.0,Khel,['India'],32987977.0,"['Action/Adventure', 'World cinema']",
2687,1984,9730.0,Friday the 13th: The Final Chapter,['United States of America'],32980880.0,"['Cult', 'Horror', 'Slasher', 'Teen']","[Composer(id=20953, name='Harry Manfredini', birthday='1943-08-25', gender=2, homepage=None, place_of_birth='Chicago, Illinois, USA', date_first_appearance='1976-09-22')]"
2688,2009,22825.0,The Box,['United States of America'],32924206.0,"['Thriller', 'Mystery', 'Science Fiction', 'Drama', 'Crime Thriller']",
2689,1993,19931.0,The Joy Luck Club,['United States of America'],32861136.0,"['Ensemble Film', 'Family Drama', 'Drama', 'Film adaptation']","[Composer(id=3562, name='Rachel Portman', birthday='1960-12-11', gender=1, homepage='https://rachelportman.co.uk/', place_of_birth='Haslemere, Surrey, England, UK', date_first_appearance='1987-11-08')]"
2690,2002,2757.0,Adaptation,['United States of America'],32801173.0,"['Crime Fiction', 'Comedy-drama', 'Cult', 'Satire', 'Drama', 'Comedy', 'Black comedy']","[Composer(id=1225, name='Carter Burwell', birthday='1955-11-18', gender=2, homepage='http://www.carterburwell.com/main/carter_burwell.shtml', place_of_birth='New York City, New York, USA', date_first_appearance='1984-09-07')]"
2691,1997,10371.0,For Richer or Poorer,['United States of America'],32748995.0,"['Romantic comedy', 'Comedy of Errors', 'Comedy', 'Romance Film', 'Family Film', 'Slapstick']","[Composer(id=14712, name='Randy Edelman', birthday='1947-06-10', gender=2, homepage=None, place_of_birth='Paterson, New Jersey, USA', date_first_appearance='1973-12-05')]"
2692,1992,13225.0,FernGully: The Last Rainforest,"['United States of America', 'Australia']",32710894.0,"['Thriller', 'Social problem film', 'Adventure', ""Children's/Family"", 'Animation', 'Fantasy', ""Children's Fantasy"", 'Family Film']","[Composer(id=37, name='Alan Silvestri', birthday='1950-03-26', gender=2, homepage='https://www.alansilvestri.com', place_of_birth='New York City, New York, USA', date_first_appearance='1972-05-26')]"
2693,1996,25059.0,Homeward Bound II: Lost in San Francisco,['United States of America'],32709423.0,"['Adventure', ""Children's/Family"", 'Animal Picture', ""Children's"", 'Drama', 'Comedy', 'Family Film', 'Family-Oriented Adventure']","[Composer(id=20897, name='Bruce Broughton', birthday='1945-03-08', gender=2, homepage=None, place_of_birth=None, date_first_appearance='1981-05-21')]"
2694,2007,13483.0,Awake,['United States of America'],32685679.0,"['Thriller', 'Drama', 'Psychological thriller']",
2695,1995,11381.0,Tommy Boy,['United States of America'],32679899.0,"['Adventure', 'Buddy film', 'Comedy', 'Slapstick']","[Composer(id=3393, name='David Newman', birthday='1954-03-11', gender=2, homepage='http://www.davidlouisnewman.com', place_of_birth=' Los Angeles, California, USA', date_first_appearance='1986-04-11')]"
2696,1978,31657.0,Coming Home,['United States of America'],32653905.0,"['Drama', 'War film', 'Romantic drama', 'Romance Film', 'Political drama', 'New Hollywood']",
2697,1988,31052.0,The Accidental Tourist,['United States of America'],32632093.0,"['Romantic drama', 'Romance Film', 'Drama']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
2698,2010,25195.0,Leap Year,"['United States of America', 'Ireland']",32607316.0,"['Romantic comedy', 'Romance Film', 'Comedy']",
2699,1968,871.0,Planet of the Apes,['United States of America'],32589624.0,"['Cult', 'Thriller', 'Science Fiction', 'Adventure', 'New Hollywood']","[Composer(id=1760, name='Jerry Goldsmith', birthday='1929-02-10', gender=2, homepage=None, place_of_birth='Pasadena, California, USA', date_first_appearance='1954-10-21')]"
2700,2007,3489.0,88 Minutes,"['United States of America', 'Canada', 'Germany']",32573503.0,"['Thriller', 'Crime Fiction', 'Psychological thriller', 'Mystery', 'Drama', 'Suspense', 'Crime Thriller']","[Composer(id=1999, name='Ed Shearmur', birthday='1966-02-28', gender=2, homepage=None, place_of_birth='London, England', date_first_appearance='1995-01-13')]"
